Date, Zone, New_Confirmed
2020-03-06, Calgary, 1
2020-03-07, Calgary, 1
2020-03-08, Calgary, 1
2020-03-08, Edmonton, 1
2020-03-09, Edmonton, 1
2020-03-10, Calgary, 3
2020-03-10, Edmonton, 3
2020-03-11, Calgary, 5
2020-03-11, Edmonton, 2
2020-03-11, Central, 1
2020-03-12, Calgary, 1
2020-03-13, Calgary, 10
2020-03-14, Calgary, 13
2020-03-14, Edmonton, 6
2020-03-15, Calgary, 10
2020-03-15, Edmonton, 1
2020-03-16, Calgary, 17
2020-03-16, Edmonton, 5
2020-03-16, Central, 1
2020-03-16, North, 2
2020-03-16, South, 1
2020-03-17, Calgary, 8
2020-03-17, Edmonton, 7
2020-03-17, Central, 1
2020-03-17, North, 2
2020-03-18, Calgary, 24
2020-03-18, Edmonton, 3
2020-03-18, South, 2
2020-03-18, North, 4

